,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
928,Low,295.6,306.0,1895.5,21.9,5.0,No Failure
929,Low,295.6,306.0,1419.0,51.1,7.0,No Failure
930,Medium,295.5,305.9,1453.0,47.3,9.0,No Failure
931,Low,295.5,305.9,1542.0,36.2,12.0,No Failure
932,Low,295.6,306.0,1363.0,50.0,14.0,No Failure
933,Low,295.5,306.0,1597.0,37.2,16.0,No Failure
934,Medium,295.5,306.0,1326.0,50.8,18.0,No Failure
935,Medium,295.5,306.0,1641.0,36.6,21.0,No Failure
936,Medium,295.6,306.1,1418.0,46.2,24.0,No Failure
937,Low,295.6,306.2,1263.0,61.8,27.0,No Failure
938,Low,295.6,306.2,1823.0,25.8,29.0,No Failure
939,Low,295.5,306.1,1488.0,40.7,31.0,No Failure
940,Low,295.6,306.2,1443.0,48.9,33.0,No Failure
941,Low,295.6,306.2,1650.0,28.2,35.0,No Failure
942,Medium,295.7,306.3,1462.0,44.3,37.0,No Failure
943,Medium,295.6,306.2,1477.0,45.0,40.0,No Failure
944,Medium,295.7,306.3,1712.0,28.5,43.0,No Failure
945,Medium,295.7,306.3,1347.0,50.4,46.0,No Failure
946,Low,295.6,306.2,1287.0,54.8,49.0,No Failure
947,Low,295.6,306.2,1428.0,44.5,51.0,No Failure
948,Medium,295.6,306.3,1426.0,45.5,53.0,No Failure
949,Low,295.6,306.3,1636.0,32.7,56.0,No Failure
950,Low,295.6,306.2,1424.0,42.5,58.0,No Failure
951,High,295.6,306.3,1509.0,35.8,60.0,No Failure
952,Low,295.5,306.2,1448.0,48.9,65.0,No Failure
953,Low,295.5,306.1,1650.0,32.8,67.0,No Failure
954,High,295.6,306.2,1414.0,42.5,69.0,No Failure
955,Low,295.6,306.3,1895.5,20.9,74.0,No Failure
956,High,295.6,306.2,1632.0,32.2,76.0,No Failure
957,Medium,295.7,306.4,1387.0,40.1,81.0,No Failure
958,Low,295.8,306.4,1399.0,47.6,84.0,No Failure
959,Low,295.8,306.5,1505.0,35.2,86.0,No Failure
960,Low,295.8,306.5,1534.0,37.9,88.0,No Failure
961,Low,295.8,306.5,1493.0,40.5,90.0,No Failure
962,Medium,295.8,306.6,1480.0,43.2,92.0,No Failure
963,Low,295.8,306.6,1621.0,31.6,95.0,No Failure
964,Low,295.7,306.5,1737.0,26.2,97.0,No Failure
965,Low,295.8,306.6,1508.0,46.5,99.0,No Failure
966,Medium,295.8,306.5,1641.0,32.2,101.0,No Failure
967,Medium,295.9,306.6,1532.0,38.6,104.0,No Failure
968,Low,295.9,306.7,1547.0,40.9,107.0,No Failure
969,Low,295.9,306.6,1412.0,41.0,109.0,No Failure
970,Low,295.8,306.5,1568.0,35.1,111.0,No Failure
971,Low,295.9,306.6,1557.0,41.1,113.0,No Failure
972,Low,295.8,306.6,1644.0,35.2,115.0,No Failure
973,Low,295.9,306.6,1679.0,30.4,117.0,No Failure
974,Low,296.0,306.6,1511.0,35.2,119.0,No Failure
975,Medium,296.0,306.6,1628.0,36.8,121.0,No Failure
976,Medium,296.0,306.6,1392.0,51.3,124.0,No Failure
977,Low,296.0,306.7,1895.5,21.0,127.0,No Failure
978,Medium,296.2,306.8,1526.0,42.3,129.0,No Failure
979,Low,296.2,306.8,1389.0,53.3,132.0,No Failure
980,Low,296.1,306.7,1409.0,42.8,134.0,No Failure
981,Low,296.2,306.8,1655.0,31.1,136.0,No Failure
982,Low,296.2,306.9,1516.0,39.1,138.0,No Failure
983,Low,296.2,306.9,1526.0,34.9,140.0,No Failure
984,Low,296.3,307.1,1419.0,48.6,142.0,No Failure
985,Low,296.4,307.2,1748.0,25.3,144.0,No Failure
986,High,296.4,307.1,1638.0,32.5,146.0,No Failure
987,Medium,296.3,307.1,1534.0,33.8,151.0,No Failure
988,High,296.3,307.1,1774.0,25.9,154.0,No Failure
989,Medium,296.2,307.0,1895.5,18.3,159.0,No Failure
990,Low,296.2,307.0,1414.0,48.3,162.0,No Failure
991,Medium,296.1,307.0,1523.0,42.0,164.0,No Failure
992,Low,296.1,307.1,1651.0,35.7,167.0,No Failure
993,Medium,296.1,307.1,1485.0,36.0,169.0,No Failure
994,Medium,296.2,307.2,1168.0,63.4,172.0,No Failure
995,Low,296.3,307.3,1566.0,35.8,175.0,No Failure
996,Medium,296.3,307.2,1286.0,51.1,177.0,No Failure
997,Medium,296.3,307.2,1446.0,45.9,180.0,No Failure
998,Medium,296.4,307.2,1895.5,19.4,183.0,No Failure
999,Low,296.3,307.1,1560.0,33.2,186.0,No Failure
1000,Low,296.3,307.1,1654.0,29.6,188.0,No Failure
1001,Low,296.3,307.1,1662.0,32.9,190.0,No Failure
1002,Low,296.3,307.2,1646.0,35.0,192.0,No Failure
1003,Low,296.2,307.1,1444.0,46.7,194.0,No Failure
1004,High,296.3,307.2,1424.0,42.0,196.0,No Failure
1005,Low,296.2,307.2,1382.0,52.0,201.0,No Failure
1006,Low,296.2,307.1,1413.0,53.4,203.0,No Failure
1007,Medium,296.2,307.2,1633.0,31.1,0.0,No Failure
1008,Low,296.2,307.1,1441.0,41.7,3.0,No Failure
1009,Medium,296.2,307.2,1385.0,44.0,5.0,No Failure
1010,Medium,296.2,307.2,1552.0,34.8,8.0,No Failure
1011,Medium,296.2,307.3,1451.0,42.8,11.0,No Failure
1012,Medium,296.1,307.1,1433.0,38.5,14.0,No Failure
1013,Medium,296.1,307.2,1619.0,29.7,17.0,No Failure
1014,Low,296.2,307.2,1445.0,41.8,20.0,No Failure
1015,Low,296.2,307.2,1356.0,43.6,22.0,No Failure
1016,Medium,296.3,307.2,1319.0,67.19999999999999,24.0,Power Failure
1017,Low,296.3,307.2,1637.0,31.6,27.0,No Failure
1018,Low,296.3,307.2,1291.0,58.6,29.0,No Failure
1019,Low,296.3,307.3,1398.0,52.7,31.0,No Failure
1020,Low,296.3,307.3,1372.0,57.7,33.0,No Failure
1021,Medium,296.3,307.2,1454.0,42.5,35.0,No Failure
1022,Low,296.2,307.2,1515.0,36.5,38.0,No Failure
1023,Low,296.2,307.3,1881.0,24.3,40.0,No Failure
1024,Low,296.2,307.3,1711.0,29.9,42.0,No Failure
1025,Low,296.2,307.3,1475.0,37.0,44.0,No Failure
1026,Low,296.4,307.4,1512.0,36.8,46.0,No Failure
1027,Medium,296.3,307.4,1335.0,50.5,48.0,No Failure
1028,Low,296.3,307.4,1472.0,39.9,51.0,No Failure
1029,Medium,296.2,307.3,1477.0,35.2,53.0,No Failure
1030,Low,296.3,307.4,1760.0,28.4,56.0,No Failure
1031,Low,296.4,307.5,1549.0,36.1,58.0,No Failure
1032,Low,296.3,307.4,1648.0,34.0,60.0,No Failure
1033,High,296.4,307.5,1556.0,38.0,62.0,No Failure
1034,Medium,296.3,307.4,1895.5,19.1,67.0,No Failure
1035,Low,296.4,307.4,1403.0,48.4,70.0,No Failure
1036,Medium,296.4,307.5,1684.0,31.4,72.0,No Failure
1037,High,296.4,307.5,1596.0,35.1,75.0,No Failure
1038,Low,296.6,307.6,1498.0,41.1,80.0,No Failure
1039,Low,296.7,307.7,1524.0,36.8,82.0,No Failure
1040,Low,296.7,307.7,1502.0,43.9,84.0,No Failure
1041,Low,296.6,307.6,1809.0,25.1,86.0,No Failure
1042,Low,296.6,307.6,1542.0,37.4,88.0,No Failure
1043,Low,296.5,307.6,1431.0,45.2,90.0,No Failure
1044,Low,296.5,307.6,1512.0,43.6,92.0,No Failure
1045,High,296.4,307.5,1403.0,52.8,94.0,No Failure
1046,Low,296.4,307.5,1331.0,47.8,99.0,No Failure
1047,Medium,296.6,307.7,1474.0,52.6,101.0,No Failure
1048,Low,296.5,307.6,1607.0,33.5,104.0,No Failure
1049,Low,296.5,307.6,1415.0,44.2,106.0,No Failure
1050,Low,296.6,307.6,1671.0,28.8,108.0,No Failure
1051,Low,296.6,307.7,1556.0,37.7,110.0,No Failure
1052,Low,296.7,307.7,1895.5,23.9,112.0,No Failure
1053,Medium,296.7,307.7,1597.0,32.1,114.0,No Failure
1054,High,296.8,307.8,1627.0,30.5,117.0,No Failure
1055,Low,296.8,307.8,1480.0,39.4,122.0,No Failure
1056,Low,296.8,307.8,1565.0,39.5,124.0,No Failure
1057,Low,296.8,307.8,1573.0,36.4,126.0,No Failure
1058,Low,296.7,307.8,1605.0,31.3,128.0,No Failure
1059,Medium,296.7,307.9,1874.0,21.3,130.0,No Failure
1060,High,296.7,307.9,1424.0,53.8,133.0,No Failure
1061,Low,296.7,307.9,1420.0,50.1,138.0,No Failure
1062,Low,296.8,307.9,1372.0,49.0,140.0,No Failure
1063,Medium,296.8,307.8,1664.0,32.8,142.0,No Failure
1064,Medium,296.8,307.9,1409.0,44.3,145.0,No Failure
1065,Low,296.8,307.9,1718.0,25.2,148.0,No Failure
1066,Medium,296.9,307.8,1544.0,40.3,150.0,No Failure
1067,Low,296.9,307.8,1466.0,45.7,153.0,No Failure
1068,Low,296.8,307.8,1394.0,47.7,155.0,No Failure
1069,Medium,296.9,307.8,1840.0,24.6,157.0,No Failure
1070,Medium,296.9,307.8,1477.0,37.2,160.0,No Failure
1071,Low,296.9,307.8,1425.0,49.1,163.0,No Failure
1072,Medium,297.0,307.9,1414.0,46.2,165.0,No Failure
1073,Low,297.0,307.8,1414.0,47.5,168.0,No Failure
1074,Low,297.0,307.9,1595.0,31.7,170.0,No Failure
1075,High,296.9,307.8,1345.0,54.5,172.0,No Failure
1076,Low,296.9,307.7,1653.0,35.9,177.0,No Failure
1077,Low,296.8,307.6,1547.0,36.5,179.0,No Failure
1078,High,296.9,307.7,1656.0,30.8,181.0,No Failure
1079,Low,297.0,307.7,1731.0,28.5,186.0,No Failure
1080,Low,297.0,307.8,1774.0,28.0,188.0,No Failure
1081,Low,297.0,307.8,1521.0,40.2,190.0,No Failure
1082,High,297.1,307.9,1420.0,39.8,192.0,No Failure
1083,Low,297.0,307.8,1683.0,32.3,197.0,No Failure
1084,Medium,297.0,307.7,1498.0,47.1,199.0,No Failure
1085,Low,297.0,307.8,1385.0,56.4,202.0,Overstrain Failure
1086,Low,297.0,307.9,1455.0,49.0,204.0,No Failure
1087,High,296.9,307.8,1549.0,35.8,206.0,Tool Wear Failure
1088,Medium,296.9,307.8,1392.0,43.9,0.0,No Failure
1089,Medium,296.9,307.7,1895.5,17.5,3.0,No Failure
1090,Low,296.9,307.7,1464.0,41.4,6.0,No Failure
1091,Low,297.0,307.7,1447.0,46.4,8.0,No Failure
1092,Medium,296.9,307.6,1685.0,32.0,10.0,No Failure
1093,Medium,296.8,307.5,1443.0,39.2,13.0,No Failure
1094,Low,296.9,307.5,1354.0,44.4,16.0,No Failure
1095,Low,296.9,307.5,1895.5,12.800000000000011,18.0,Power Failure
1096,Low,297.0,307.6,1680.0,35.8,20.0,No Failure
1097,High,296.9,307.5,1397.0,48.3,22.0,No Failure
1098,Medium,296.9,307.4,1521.0,37.9,27.0,No Failure
1099,Medium,296.8,307.4,1472.0,43.9,30.0,No Failure
1100,High,296.8,307.5,1695.0,30.0,33.0,No Failure
1101,High,296.7,307.5,1607.0,33.6,38.0,No Failure
1102,Low,296.8,307.5,1347.0,54.8,43.0,No Failure
1103,Medium,296.7,307.4,1540.0,38.7,45.0,No Failure
1104,Low,296.6,307.4,1389.0,42.7,48.0,No Failure
1105,Medium,296.6,307.5,1734.0,27.0,50.0,No Failure
1106,Low,296.7,307.6,1540.0,38.6,53.0,No Failure
1107,Medium,296.7,307.5,1515.0,42.1,55.0,No Failure
1108,Low,296.6,307.4,1504.0,45.8,58.0,No Failure
1109,Low,296.6,307.5,1557.0,35.1,60.0,No Failure
1110,Low,296.5,307.4,1292.0,52.5,62.0,No Failure
1111,High,296.5,307.4,1432.0,49.2,64.0,No Failure
1112,Medium,296.5,307.4,1350.0,55.6,69.0,No Failure
1113,Medium,296.6,307.4,1790.0,25.8,72.0,No Failure
1114,High,296.4,307.3,1540.0,37.4,75.0,No Failure
1115,Medium,296.4,307.3,1895.5,19.1,80.0,No Failure
1116,Low,296.4,307.3,1487.0,37.5,83.0,No Failure
1117,Low,296.5,307.4,1523.0,40.7,85.0,No Failure
1118,Low,296.5,307.5,1443.0,41.8,87.0,No Failure
1119,Low,296.5,307.5,1340.0,59.1,89.0,No Failure
1120,High,296.6,307.7,1654.0,31.0,91.0,No Failure
1121,Low,296.6,307.6,1459.0,40.2,96.0,No Failure
1122,Low,296.5,307.6,1541.0,38.5,98.0,No Failure
1123,High,296.6,307.7,1386.0,62.3,100.0,Power Failure
1124,Medium,296.7,307.8,1258.0,67.19999999999999,105.0,Power Failure
1125,Medium,296.7,307.8,1375.0,51.4,108.0,No Failure
1126,Low,296.8,307.9,1706.0,30.8,111.0,No Failure
1127,Medium,296.7,307.8,1672.0,32.4,113.0,No Failure
1128,Medium,296.8,307.9,1843.0,25.2,116.0,No Failure
1129,Low,296.7,307.9,1690.0,29.6,119.0,No Failure
1130,Low,296.8,307.9,1413.0,46.5,121.0,No Failure
1131,Low,296.8,307.9,1489.0,33.4,123.0,No Failure
1132,Low,296.8,307.9,1271.0,61.4,125.0,No Failure
1133,Medium,296.8,307.9,1418.0,47.9,127.0,No Failure
1134,Medium,296.9,307.8,1426.0,50.7,130.0,No Failure
1135,Low,296.9,307.9,1535.0,39.2,133.0,No Failure
1136,Low,296.9,307.8,1557.0,38.1,135.0,No Failure
1137,Low,296.9,307.8,1653.0,29.7,137.0,No Failure
1138,Low,296.9,307.9,1435.0,41.6,139.0,No Failure
1139,Medium,297.0,307.9,1569.0,33.3,141.0,No Failure
1140,Medium,296.9,307.9,1385.0,44.8,144.0,No Failure
1141,Low,297.0,307.9,1635.0,31.6,147.0,No Failure
1142,Low,296.9,307.9,1423.0,43.9,149.0,No Failure
1143,Low,297.0,307.9,1479.0,39.2,151.0,No Failure
1144,Low,297.0,307.9,1296.0,67.19999999999999,153.0,Power Failure
1145,Low,297.0,307.8,1553.0,33.3,155.0,No Failure
1146,Low,297.0,307.9,1529.0,42.2,157.0,No Failure
1147,Medium,297.1,308.0,1690.0,25.6,159.0,No Failure
1148,Low,297.1,308.0,1348.0,58.0,162.0,No Failure
1149,Low,297.2,308.1,1446.0,38.5,164.0,No Failure
1150,Low,297.1,307.9,1456.0,50.0,166.0,No Failure
1151,Low,297.0,307.9,1350.0,47.7,168.0,No Failure
1152,Low,297.1,307.9,1507.0,38.3,170.0,No Failure
1153,High,297.0,307.9,1448.0,45.6,172.0,No Failure
1154,Low,296.9,307.9,1626.0,29.9,177.0,No Failure
1155,High,297.0,307.9,1846.0,27.3,179.0,No Failure
1156,High,297.0,307.8,1404.0,40.7,184.0,No Failure
1157,Low,297.0,307.8,1583.0,37.2,189.0,No Failure
1158,Low,297.0,307.9,1436.0,47.7,191.0,No Failure
1159,Low,297.0,307.8,1609.0,35.6,193.0,No Failure
1160,High,297.0,307.7,1834.0,23.8,195.0,No Failure
1161,Low,297.0,307.8,1316.0,61.2,200.0,Overstrain Failure
1162,Low,296.9,307.8,1400.0,57.1,202.0,Overstrain Failure
1163,Low,296.9,307.9,1367.0,47.1,204.0,No Failure
1164,Low,297.1,308.1,1754.0,30.3,206.0,No Failure
1165,Low,297.1,308.1,1487.0,34.6,208.0,No Failure
1166,Medium,297.1,308.1,1506.0,37.7,210.0,No Failure
1167,Low,297.0,308.1,1362.0,52.5,213.0,Overstrain Failure
1168,Low,297.1,308.1,1584.0,36.8,215.0,No Failure
1169,Low,297.0,308.1,1355.0,43.7,217.0,No Failure
1170,Medium,297.1,308.1,1823.0,24.3,219.0,No Failure
1171,High,297.0,308.1,1517.0,41.4,222.0,No Failure
1172,Low,297.1,308.1,1446.0,36.6,227.0,No Failure
1173,High,297.1,308.0,1559.0,38.8,229.0,No Failure
1174,Medium,297.1,308.1,1352.0,44.4,0.0,No Failure
1175,Medium,297.2,308.3,1578.0,37.8,3.0,No Failure
1176,Medium,297.2,308.3,1429.0,42.0,6.0,No Failure
1177,Medium,297.2,308.3,1604.0,39.4,9.0,No Failure
1178,Low,297.3,308.5,1398.0,60.4,12.0,No Failure
1179,Low,297.3,308.4,1441.0,43.4,14.0,No Failure
1180,High,297.3,308.4,1531.0,35.6,16.0,No Failure
1181,Low,297.2,308.3,1379.0,52.1,21.0,No Failure
1182,Low,297.3,308.3,1410.0,48.1,23.0,No Failure
1183,Low,297.3,308.4,1513.0,40.5,25.0,No Failure
1184,Low,297.3,308.5,1497.0,47.5,27.0,No Failure
1185,Low,297.3,308.4,1491.0,46.5,29.0,No Failure
1186,Low,297.3,308.4,1417.0,47.8,31.0,No Failure
1187,Medium,297.4,308.6,1522.0,38.0,33.0,No Failure
1188,Low,297.3,308.4,1339.0,52.1,36.0,No Failure
1189,Medium,297.2,308.3,1794.0,27.5,38.0,No Failure
1190,Low,297.2,308.4,1460.0,42.1,41.0,No Failure
1191,Medium,297.2,308.3,1776.0,28.0,43.0,No Failure
1192,Medium,297.2,308.3,1431.0,43.7,46.0,No Failure
1193,Low,297.1,308.2,1347.0,50.8,49.0,No Failure
1194,Medium,297.0,308.1,1507.0,43.1,51.0,No Failure
1195,Medium,297.0,308.0,1408.0,47.9,54.0,No Failure
1196,Medium,297.0,307.9,1493.0,34.7,57.0,No Failure
1197,Medium,296.9,307.9,1441.0,47.6,60.0,No Failure
1198,High,296.9,307.9,1557.0,36.5,63.0,No Failure
1199,Medium,296.9,307.9,1895.5,20.4,68.0,No Failure
1200,Medium,296.9,308.0,1430.0,55.9,71.0,No Failure
1201,Low,296.9,308.0,1658.0,41.0,74.0,No Failure
1202,Medium,297.0,308.1,1355.0,51.4,76.0,No Failure
1203,High,297.0,308.1,1410.0,47.6,79.0,No Failure
1204,Low,296.9,308.0,1521.0,34.5,84.0,No Failure
1205,Low,296.8,308.0,1371.0,54.5,86.0,No Failure
1206,High,296.9,308.0,1318.0,53.5,88.0,No Failure
1207,Medium,297.0,308.1,1573.0,34.9,93.0,No Failure
1208,Low,297.0,308.1,1489.0,44.1,96.0,No Failure
1209,High,297.0,308.1,1895.5,13.3,98.0,No Failure
1210,Low,297.0,308.1,1537.0,39.0,103.0,No Failure
1211,High,296.9,308.0,1416.0,46.9,105.0,No Failure
1212,Low,296.9,307.9,1359.0,56.5,110.0,No Failure
1213,Medium,296.8,307.8,1551.0,38.9,112.0,No Failure
1214,Medium,296.8,307.8,1694.0,33.0,115.0,No Failure
1215,Low,296.8,307.9,1709.0,28.4,118.0,No Failure
1216,Low,296.9,308.0,1514.0,41.0,120.0,No Failure
1217,Low,297.0,308.1,1455.0,43.5,122.0,No Failure
1218,Medium,297.0,308.2,1702.0,30.7,124.0,No Failure
1219,Medium,296.9,308.1,1357.0,41.8,127.0,No Failure
1220,Low,297.0,308.2,1577.0,29.4,130.0,No Failure
1221,Medium,297.0,308.3,1399.0,46.4,132.0,Random Failures
1222,Low,297.0,308.3,1399.0,59.0,135.0,No Failure
1223,Low,297.0,308.3,1492.0,48.1,137.0,No Failure
1224,Low,297.1,308.3,1763.0,25.7,139.0,No Failure
1225,High,297.1,308.3,1492.0,41.5,141.0,No Failure
1226,Low,297.1,308.4,1488.0,42.5,146.0,No Failure
1227,Low,297.1,308.4,1422.0,42.1,148.0,No Failure
1228,Medium,297.1,308.4,1583.0,38.2,150.0,No Failure
1229,Low,297.1,308.4,1304.0,53.5,153.0,No Failure
1230,Medium,297.1,308.4,1880.0,23.5,155.0,No Failure
1231,Medium,297.2,308.5,1604.0,40.7,158.0,No Failure
1232,Low,297.2,308.6,1500.0,37.1,161.0,No Failure
1233,Medium,297.2,308.5,1364.0,55.6,163.0,No Failure
1234,High,297.2,308.5,1895.5,14.0,166.0,No Failure
1235,High,297.1,308.4,1654.0,31.4,171.0,No Failure
1236,High,297.1,308.4,1359.0,46.6,176.0,No Failure
1237,Medium,297.1,308.4,1502.0,37.3,181.0,No Failure
1238,Medium,297.1,308.4,1615.0,32.6,184.0,No Failure
1239,High,297.2,308.5,1482.0,39.3,187.0,No Failure
1240,Low,297.2,308.6,1636.0,31.3,192.0,No Failure
1241,Medium,297.1,308.5,1621.0,32.4,194.0,No Failure
1242,Low,297.1,308.4,1468.0,44.4,197.0,No Failure
1243,Medium,297.1,308.4,1432.0,53.4,199.0,No Failure
1244,Low,297.1,308.4,1726.0,28.4,202.0,No Failure
1245,Medium,297.1,308.4,1588.0,33.4,204.0,No Failure
1246,High,297.2,308.5,1653.0,33.3,207.0,No Failure
1247,Low,297.2,308.5,1513.0,42.9,212.0,No Failure
1248,Low,297.2,308.6,1489.0,40.2,214.0,No Failure
1249,Low,297.3,308.7,1467.0,36.8,216.0,No Failure
1250,Low,297.3,308.7,1549.0,36.1,218.0,No Failure
1251,Medium,297.4,308.8,1359.0,48.7,220.0,No Failure
1252,Low,297.5,308.8,1533.0,41.5,223.0,No Failure
1253,Low,297.5,308.8,1309.0,57.3,0.0,No Failure
1254,High,297.5,308.8,1430.0,49.4,2.0,No Failure
1255,High,297.5,308.9,1419.0,50.7,7.0,No Failure
1256,Medium,297.5,308.9,1535.0,37.7,12.0,No Failure
1257,Low,297.5,308.9,1466.0,43.0,15.0,No Failure
1258,Low,297.5,308.9,1427.0,50.4,17.0,No Failure
1259,Medium,297.5,308.9,1280.0,48.5,19.0,No Failure
1260,Low,297.6,309.0,1528.0,33.8,22.0,No Failure
1261,High,297.6,309.0,1885.0,25.2,24.0,No Failure
1262,High,297.8,309.2,1648.0,33.0,29.0,No Failure
1263,Low,297.8,309.2,1400.0,56.9,34.0,No Failure
1264,Medium,297.8,309.3,1895.5,15.7,36.0,No Failure
1265,Low,297.9,309.4,1558.0,35.7,39.0,No Failure
1266,Low,298.0,309.6,1633.0,34.8,41.0,No Failure
1267,Medium,298.1,309.6,1549.0,38.7,43.0,No Failure
1268,Low,298.0,309.5,1496.0,45.8,46.0,No Failure
1269,Low,298.1,309.5,1467.0,41.8,48.0,No Failure
1270,Medium,298.0,309.4,1276.0,65.9,50.0,No Failure
1271,High,298.0,309.4,1490.0,40.5,53.0,No Failure
1272,High,298.0,309.4,1562.0,38.1,58.0,No Failure
1273,Low,298.1,309.4,1397.0,48.2,63.0,No Failure
1274,High,298.1,309.5,1530.0,40.2,65.0,No Failure
1275,Medium,298.1,309.4,1362.0,47.6,70.0,No Failure
1276,Medium,298.2,309.4,1693.0,34.4,73.0,No Failure
1277,Medium,298.2,309.4,1408.0,46.5,76.0,No Failure
1278,Low,298.2,309.4,1398.0,52.9,79.0,No Failure
1279,Medium,298.3,309.6,1531.0,40.1,81.0,No Failure
1280,High,298.3,309.5,1521.0,37.1,84.0,No Failure
1281,High,298.3,309.5,1427.0,54.3,89.0,No Failure
1282,Low,298.3,309.4,1546.0,36.1,94.0,No Failure
1283,Low,298.3,309.4,1356.0,45.4,96.0,No Failure
1284,Low,298.4,309.5,1895.5,15.3,98.0,Power Failure
1285,Medium,298.5,309.6,1492.0,41.7,100.0,No Failure
1286,Low,298.5,309.6,1582.0,40.3,103.0,No Failure
1287,Low,298.5,309.6,1419.0,41.5,105.0,No Failure
1288,Medium,298.5,309.6,1441.0,48.2,107.0,No Failure
1289,Medium,298.6,309.7,1635.0,32.2,110.0,No Failure
1290,Low,298.6,309.7,1429.0,45.8,113.0,No Failure
1291,Medium,298.6,309.7,1675.0,28.4,115.0,No Failure
1292,Medium,298.7,309.7,1868.0,23.8,118.0,No Failure
1293,High,298.7,309.8,1582.0,33.4,121.0,No Failure
1294,Low,298.8,309.9,1486.0,40.3,126.0,No Failure
1295,Low,298.7,309.8,1402.0,54.3,128.0,No Failure
1296,Low,298.7,309.9,1621.0,34.1,130.0,No Failure
1297,Low,298.8,309.9,1428.0,42.4,132.0,No Failure
1298,Medium,298.7,309.8,1343.0,53.6,134.0,No Failure
1299,Medium,298.7,309.9,1458.0,40.2,137.0,No Failure
1300,Low,298.7,309.8,1322.0,57.0,140.0,No Failure
1301,Low,298.7,309.9,1483.0,32.8,142.0,No Failure
1302,Low,298.6,309.8,1505.0,45.7,144.0,Random Failures
1303,Low,298.7,309.9,1593.0,42.5,146.0,No Failure
1304,Low,298.8,310.0,1895.5,19.6,148.0,No Failure
1305,Low,298.8,310.0,1672.0,30.4,150.0,No Failure
1306,Low,298.8,310.0,1487.0,41.4,152.0,No Failure
1307,Low,298.8,310.0,1423.0,42.1,154.0,No Failure
1308,Low,298.9,310.1,1750.0,25.0,156.0,No Failure
1309,Low,298.9,310.2,1654.0,31.1,158.0,No Failure
1310,Low,298.9,310.2,1498.0,50.2,160.0,No Failure
1311,Low,298.9,310.1,1587.0,30.2,162.0,No Failure
1312,Low,298.9,310.1,1473.0,42.6,164.0,No Failure
1313,Low,298.9,310.2,1359.0,56.9,166.0,No Failure
1314,Medium,299.0,310.3,1635.0,34.5,168.0,No Failure
1315,Low,299.0,310.3,1520.0,45.0,171.0,No Failure
1316,Low,299.0,310.3,1507.0,36.7,173.0,No Failure
1317,Low,299.0,310.3,1428.0,46.3,175.0,No Failure
1318,Medium,299.0,310.3,1582.0,33.3,177.0,No Failure
1319,Low,299.0,310.3,1895.5,24.4,180.0,No Failure
1320,Medium,299.0,310.3,1540.0,38.1,182.0,No Failure
1321,Low,298.9,310.2,1362.0,53.0,185.0,No Failure
1322,High,298.9,310.1,1452.0,49.9,187.0,No Failure
1323,Low,298.9,310.1,1361.0,51.7,192.0,No Failure
1324,Medium,298.8,310.1,1243.0,67.19999999999999,194.0,Power Failure
1325,High,298.8,310.1,1567.0,36.8,197.0,No Failure
1326,Low,298.9,310.2,1411.0,46.5,202.0,No Failure
1327,Low,298.8,310.2,1814.0,26.8,204.0,No Failure
1328,Medium,298.8,310.1,1719.0,28.8,206.0,No Failure
1329,High,298.8,310.2,1663.0,30.4,209.0,No Failure
1330,Low,298.9,310.2,1696.0,30.2,214.0,No Failure
1331,High,298.9,310.2,1771.0,26.8,216.0,No Failure
1332,Low,299.0,310.3,1868.0,24.0,221.0,No Failure
1333,Medium,299.0,310.3,1558.0,35.4,223.0,No Failure
1334,Low,299.0,310.4,1365.0,49.1,226.0,Overstrain Failure
1335,Low,299.0,310.4,1371.0,53.8,228.0,Overstrain Failure
1336,Low,298.9,310.3,1583.0,32.6,230.0,No Failure
1337,High,298.7,310.2,1613.0,36.0,0.0,No Failure
1338,Low,298.6,310.1,1721.0,27.2,5.0,No Failure
1339,Medium,298.6,310.2,1668.0,31.5,7.0,No Failure
1340,Low,298.6,310.2,1569.0,36.3,10.0,No Failure
1341,Medium,298.6,310.2,1328.0,50.5,12.0,No Failure
1342,Medium,298.6,310.1,1596.0,33.0,15.0,No Failure
1343,Low,298.5,310.2,1676.0,32.7,18.0,No Failure
1344,Low,298.5,310.1,1809.0,28.9,20.0,No Failure
1345,Low,298.5,310.0,1804.0,26.1,22.0,No Failure
1346,Low,298.6,310.1,1533.0,33.9,24.0,No Failure
1347,Low,298.7,310.2,1717.0,27.3,26.0,No Failure
1348,Low,298.7,310.2,1363.0,45.5,28.0,No Failure
1349,Low,298.7,310.2,1402.0,45.9,30.0,No Failure
1350,Low,298.7,310.2,1436.0,47.5,32.0,No Failure
1351,Low,298.7,310.2,1525.0,43.7,34.0,No Failure
1352,Medium,298.7,310.2,1598.0,33.3,36.0,No Failure
1353,Medium,298.6,310.1,1444.0,48.1,39.0,No Failure
1354,Low,298.6,310.0,1334.0,48.0,42.0,No Failure
1355,Medium,298.6,310.0,1681.0,35.5,44.0,No Failure
1356,Low,298.6,309.9,1593.0,37.4,47.0,No Failure
1357,Low,298.6,309.9,1461.0,45.7,49.0,No Failure
1358,Medium,298.7,310.1,1693.0,31.9,51.0,No Failure
1359,Low,298.7,310.2,1404.0,50.3,54.0,No Failure
1360,High,298.8,310.2,1707.0,27.6,56.0,No Failure
